"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wang, J.; Hu, X.","Wang, Jiamei (57207316351); Hu, Xiangdong (57222106135)","57207316351; 57222106135","Research on corn production efficiency and influencing factors of typical farms: Based on data from 12 corn-producing countries from 2012 to 2019","2021","PLoS ONE","16","7 July","e0254423","","","60","10.1371/journal.pone.0254423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109739566&doi=10.1371%2Fjournal.pone.0254423&partnerID=40&md5=0a3003e6105927fe68752c9e28ad073e","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85109739566"
"Arrien, M.M.; Martínez Aldaya, M.M.; Rodríguez, C.I.","Arrien, Maria Macarena (57225179164); Martínez Aldaya, Maite Martínez (35316963700); Rodríguez, Corina Iris (57203804960)","57225179164; 35316963700; 57203804960","Water footprint and virtual water trade of maize in the province of buenos aires, argentina","2021","Water (Switzerland)","13","13","1769","","","22","10.3390/w13131769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109404993&doi=10.3390%2Fw13131769&partnerID=40&md5=e10a81772ca9aff3993ab384ee50b5a2","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85109404993"
"Trollman, H.; Jagtap, S.; Garcia-Garcia, G.; Harastani, R.; Colwill, J.; Trollman, F.","Trollman, Hana (57202480037); Jagtap, Sandeep (57194044006); Garcia-Garcia, Guillermo (57208693890); Harastani, Rania (57220265793); Colwill, James A. (7003854747); Trollman, Frank (57222399944)","57202480037; 57194044006; 57208693890; 57220265793; 7003854747; 57222399944","COVID-19 demand-induced scarcity effects on nutrition and environment: investigating mitigation strategies for eggs and wheat flour in the United Kingdom","2021","Sustainable Production and Consumption","27","","","1255","1272","30","10.1016/j.spc.2021.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102647595&doi=10.1016%2Fj.spc.2021.03.001&partnerID=40&md5=1df49339b61406554166f5b317b365e0","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85102647595"
"Wolffe, M.C.; Wild, O.; Long, S.P.; Ashworth, K.","Wolffe, Michael C. (58431269200); Wild, Oliver (6701636816); Long, Stephen Patrick (7402506808); Ashworth, Kirsti (35188572000)","58431269200; 6701636816; 7402506808; 35188572000","Temporal variability in the impacts of particulate matter on crop yields on the North China Plain","2021","Science of the Total Environment","776","","145135","","","15","10.1016/j.scitotenv.2021.145135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101618864&doi=10.1016%2Fj.scitotenv.2021.145135&partnerID=40&md5=4b7b2c94889459e4e3ca33763e38c1e9","Article","Final","","Scopus","2-s2.0-85101618864"
"Tanaka, T.; Geyik, Ö.; Karapinar, B.","Tanaka, Tetsuji (55727256500); Geyik, Ozge (57209798531); Karapinar, Barış (16833389900)","55727256500; 57209798531; 16833389900","Short-term implications of climate shocks on wheat-based nutrient flows: A global “nutrition at risk” analysis through a stochastic cge model","2021","Foods","10","6","1414","","","5","10.3390/foods10061414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109048449&doi=10.3390%2Ffoods10061414&partnerID=40&md5=ea2fbf5fd1bb4bdb2a3c411eab4109c9","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85109048449"
"Mobarok, M.H.; Thompson, W.; Skevas, T.","Mobarok, Mohammad Hasan (57224408271); Thompson, Wyatt W. (16305550100); Skevas, Theodoros (40262429000)","57224408271; 16305550100; 40262429000","COVID-19 and policy impacts on the Bangladeshi rice market and food security","2021","Sustainability (Switzerland)","13","11","5981","","","9","10.3390/su13115981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107491128&doi=10.3390%2Fsu13115981&partnerID=40&md5=681dbd267d2cb6cc8c90fe4ade8dd7c3","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85107491128"
"Adnan, N.; Nordin, S.M.","Adnan, Nadia (57055511900); Nordin, Shahrina Md (25825511800)","57055511900; 25825511800","How COVID 19 effect Malaysian paddy industry? Adoption of green fertilizer a potential resolution","2021","Environment, Development and Sustainability","23","6","","8089","8129","31","10.1007/s10668-020-00978-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091725631&doi=10.1007%2Fs10668-020-00978-6&partnerID=40&md5=2d052947ca8f618ab3ce95c8e2e51b94","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85091725631"
"Nasir, M.A.; Qori'Ah, C.G.; Wardhono, A.","Nasir, M. Abd (59246420800); Qori'Ah, Ciplis Gema (57214725748); Wardhono, Adhitya (57022357200)","59246420800; 57214725748; 57022357200","Measuring the competitiveness of cassava in East Java, Indonesia: Evidence in Jember regency","2021","IOP Conference Series: Earth and Environmental Science","759","1","012049","","","2","10.1088/1755-1315/759/1/012049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107974720&doi=10.1088%2F1755-1315%2F759%2F1%2F012049&partnerID=40&md5=0d5dfe1770ac32510b68caec53749533","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85107974720"
"Fridman, D.; Koellner, T.; Kissinger, M.","Fridman, Dor (57200582105); Koellner, Thomas (6507337126); Kissinger, Meidad (16245329400)","57200582105; 6507337126; 16245329400","Exploring global interregional food system's sustainability using the functional regions typology","2021","Global Environmental Change","68","","102276","","","11","10.1016/j.gloenvcha.2021.102276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104647987&doi=10.1016%2Fj.gloenvcha.2021.102276&partnerID=40&md5=49d4842c622c10f16f552a58cbe29af1","Article","Final","","Scopus","2-s2.0-85104647987"
"Cordell, D.; Dominish, E.; Esham, M.; Jacobs, B.; Nanda, M.","Cordell, Dana J. (26026606900); Dominish, Elsa (57201485836); Esham, Mohamed Kamrul Hasan (54977456700); Jacobs, Brent C. (8615682100); Nanda, Madhuri (57201682730)","26026606900; 57201485836; 54977456700; 8615682100; 57201682730","Adapting food systems to the twin challenges of phosphorus and climate vulnerability: the case of Sri Lanka","2021","Food Security","13","2","","477","492","7","10.1007/s12571-020-01118-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101264891&doi=10.1007%2Fs12571-020-01118-8&partnerID=40&md5=ad82ed9d2cfe5f7365c3b042e2e1ee82","Article","Final","All Open Access","Scopus","2-s2.0-85101264891"
"Zolkin, A.L.; Matvienko, E.V.; Shavanov, M.V.","Zolkin, A. L. (57220045614); Matvienko, Evgeniy V. (57222467425); Shavanov, Musa Vahaevich (57200984130)","57220045614; 57222467425; 57200984130","Innovative technologies in agricultural crops breeding and seed farming","2021","IOP Conference Series: Earth and Environmental Science","677","2","022092","","","7","10.1088/1755-1315/677/2/022092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103252888&doi=10.1088%2F1755-1315%2F677%2F2%2F022092&partnerID=40&md5=f77cc85cd1fea738de5f886843c1f89b","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103252888"
"Wu, X.; Xiao, X.; Yang, Z.; Wang, J.; Steiner, J.; Bajgain, R.","Wu, Xiaocui (56196149300); Xiao, Xiangming (7402170368); Yang, Z. (55716568000); Wang, Jie (56386271400); Steiner, J. L. (7201652113); Bajgain, Rajen (56705461600)","56196149300; 7402170368; 55716568000; 56386271400; 7201652113; 56705461600","Spatial-temporal dynamics of maize and soybean planted area, harvested area, gross primary production, and grain production in the Contiguous United States during 2008-2018","2021","Agricultural and Forest Meteorology","297","","108240","","","29","10.1016/j.agrformet.2020.108240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096003476&doi=10.1016%2Fj.agrformet.2020.108240&partnerID=40&md5=151f91a57c55b453bddc44f443612696","Article","Final","","Scopus","2-s2.0-85096003476"
"Razali, N.M.; Hisham, S.N.; Kumar, I.S.; Shukla, R.N.; Lee, M.; Bakar, M.F.A.; Nadarajah, K.","Razali, Nurhani Mat (58375986200); Hisham, Siti Norvahida (57222047421); Kumar, Ilakiya Sharanee (57205297502); Shukla, Rohit Nandan (56157107100); Lee, Melvin (57222036740); Bakar, Mohd Faizal Abu (59417751000); Nadarajah, Kalaivani K. (15035978900)","58375986200; 57222047421; 57205297502; 56157107100; 57222036740; 59417751000; 15035978900","Comparative genomics: Insights on the pathogenicity and lifestyle of rhizoctonia solani","2021","International Journal of Molecular Sciences","22","4","2183","1","25","18","10.3390/ijms22042183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101152899&doi=10.3390%2Fijms22042183&partnerID=40&md5=3c29442d3f20604d0c50e83474b197c8","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85101152899"
"Addey, K.A.","Addey, Kwame Asiam (57209400120)","57209400120","The cost of partners’ genetically modified organisms regulatory index on U.S. corn and soybean exports","2021","Food and Energy Security","10","1","e265","","","8","10.1002/fes3.265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096827504&doi=10.1002%2Ffes3.265&partnerID=40&md5=1f78348a88b79c9405e54e67eabcdd4f","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85096827504"
"Wu, F.; Wang, Y.; Liu, Y.U.; Liu, Y.; Zhang, Y.","Wu, Feng (57189375819); Wang, Yihan (59853129200); Liu, Yu (56383915700); Liu, Yawen (57203675219); Zhang, Yali (58875675200)","57189375819; 59853129200; 56383915700; 57203675219; 58875675200","Simulated responses of global rice trade to variations in yield under climate change: Evidence from main rice-producing countries","2021","Journal of Cleaner Production","281","","124690","","","37","10.1016/j.jclepro.2020.124690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093979032&doi=10.1016%2Fj.jclepro.2020.124690&partnerID=40&md5=dc8cc2886b8ef4d104c0cebf56a3bff0","Article","Final","","Scopus","2-s2.0-85093979032"
"Golding, P.; Kapadia, S.; Naylor, S.; Schulz, J.; Maier, H.R.; Lall, U.; Van Der Velde, M.","Golding, Peter (57213482183); Kapadia, Sam (57194624678); Naylor, Stella (57194618223); Schulz, Jonathan (57194617225); Maier, Holger R. (7202461054); Lall, Upmanu (7007127326); Van Der Velde, Marijn (12759687800)","57213482183; 57194624678; 57194618223; 57194617225; 7202461054; 7007127326; 12759687800","Trade strategies to mitigate the global impact of regional wheat production shocks","2021","Proceedings of the International Congress on Modelling and Simulation, MODSIM","","","","127","133","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177062885&partnerID=40&md5=681d169894e4e9d39f51fc4fb4c39058","Conference paper","Final","","Scopus","2-s2.0-85177062885"
"Ankrah, D.A.; Agyei-Holmes, A.; Asuming Boakye, A.A.","Ankrah, Daniel Adu (37074065100); Agyei-Holmes, Andrew (57189891936); Asuming Boakye, Alfred Asuming (40661042300)","37074065100; 57189891936; 40661042300","Ghana's rice value chain resilience in the context of COVID-19","2021","Social Sciences and Humanities Open","4","1","100210","","","23","10.1016/j.ssaho.2021.100210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131715527&doi=10.1016%2Fj.ssaho.2021.100210&partnerID=40&md5=5196741d56ec0cc025186ce1d6a9b29e","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85131715527"
"Vanany, I.; Hajar, G.; Utami, N.M.C.; Jaelani, L.M.","Vanany, Iwan W. (36621484400); Hajar, Granita (57214997958); Utami, Ni Made Cyntia (57215000768); Jaelani, Lalu Muhamad (55953435300)","36621484400; 57214997958; 57215000768; 55953435300","Modelling food security for staple protein in Indonesia using system dynamics approach","2021","Cogent Engineering","8","1","2003945","","","5","10.1080/23311916.2021.2003945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121286126&doi=10.1080%2F23311916.2021.2003945&partnerID=40&md5=045197926f0954195a1c1366c77ea1de","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85121286126"
"Beltrán, J.P.; Casañas, F.; Clotet, R.; Colomer, Y.; Vaqué, L.G.; Martín-Aranda, R.M.; Puigdomenèch, P.; Romagosa, I.","Beltrán, José Pío (56254088100); Casañas, Francesc (60083838400); Clotet, Ramón (56199982700); Colomer, Yvonne (6505528658); Vaqué, Luís González (47562320400); Martín-Aranda, Rosa María (6701558651); Puigdomenèch, Pére (56242984900); Romagosa, Ignacio (7003945085)","56254088100; 60083838400; 56199982700; 6505528658; 47562320400; 6701558651; 56242984900; 7003945085","Food security and innovative tools with a global food system approach","2021","European Food and Feed Law Review","16","3","","202","211","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121282075&partnerID=40&md5=723a54c955c4f50f785bef8beabdd315","Article","Final","","Scopus","2-s2.0-85121282075"
"Zhao, F.; Sun, P.; Zhang, J.","Zhao, Feng (57212611490); Sun, Pingping (57221308194); Zhang, Jie (57218507626)","57212611490; 57221308194; 57218507626","Modeling the Grain Import Trade: A Cointegration Analysis of China's Panel Data","2021","Discrete Dynamics in Nature and Society","2021","","3673282","","","7","10.1155/2021/3673282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118986751&doi=10.1155%2F2021%2F3673282&partnerID=40&md5=6ba093d01d8ea3568c446433df6ada51","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85118986751"
"Guwela, V.F.; Maliro, M.F.A.; Joy, E.J.M.; Tang, K.; Bokosi, J.; Hawkesford, M.J.; Broadley, M.R.; King, J.","Guwela, Veronica F. (57193554029); Maliro, Moses F.A. (6506553882); Joy, Edward J.M. (55332529300); Tang, Kevin (57239423100); Bokosi, James M. (14037096500); Hawkesford, Malcolm John (6701753479); Broadley, Martin R. (7003414033); King, Julie (55551918400)","57193554029; 6506553882; 55332529300; 57239423100; 14037096500; 6701753479; 7003414033; 55551918400","Wheat value chains in Malawi: Trends, gaps, challenges and opportunities","2021","CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources","16","46","","","","2","10.1079/PAVSNNR202116046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113985197&doi=10.1079%2FPAVSNNR202116046&partnerID=40&md5=57457f32f58651b30ec60ce8e603b5b0","Review","Final","","Scopus","2-s2.0-85113985197"
"Almas, L.K.; Usman, M.","Almas, Lal Khan (57204205465); Usman, Muhammad (58717422000)","57204205465; 58717422000","Determinants of wheat consumption, irrigated agriculture, and food security challenges in egypt","2021","WSEAS Transactions on Environment and Development","17","","","696","712","10","10.37394/232015.2021.17.67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111291791&doi=10.37394%2F232015.2021.17.67&partnerID=40&md5=eee979faeca9392a240c6e0cc50dfa21","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111291791"
"Wegren, S.K.; Nilssen, F.","Wegren, Stephen K. (7004273823); Nilssen, Frode (6507334964)","7004273823; 6507334964","Russia’s changing role in the international agri-food system and why it matters","2021","Post-Communist Economies","33","8","","939","968","4","10.1080/14631377.2021.1943914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111018905&doi=10.1080%2F14631377.2021.1943914&partnerID=40&md5=d1730430a19de6693c15de39cf3dfc1f","Article","Final","","Scopus","2-s2.0-85111018905"
"Abrhám, J.; Vošta, M.; Čajka, P.; Rubáček, F.","Abrhám, Josef (23491322600); Vošta, Milan (6506027314); Čajka, Peter (56602806600); Rubáček, Filip (57216564076)","23491322600; 6506027314; 56602806600; 57216564076","The specifics of selected agricultural commodities in international trade","2021","Agricultural and Resource Economics","7","2","","5","19","14","10.51599/are.2021.07.02.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109080787&doi=10.51599%2Fare.2021.07.02.01&partnerID=40&md5=5f8ab70951969f83a5412c6f93ae7bb4","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85109080787"
"Kusumawardani, A.; Laksmono, B.S.; Setyawati, L.; Soesilo, T.E.B.","Kusumawardani, Adriani (57224906160); Laksmono, Bambang Shergi (25823852000); Setyawati, Lugina (57204103221); Soesilo, Tri Edhi Budhi (57193915879)","57224906160; 25823852000; 57204103221; 57193915879","A Policy Construction for Sustainable Rice Food Sovereignty in Indonesia","2021","Potravinarstvo Slovak Journal of Food Sciences","15","","","484","496","9","10.5219/1533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108550379&doi=10.5219%2F1533&partnerID=40&md5=66ba276e24bd0d19eddd3fe2ce88b1bf","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85108550379"
"Khanh, T.D.; Duong, V.X.; Nguyen, P.C.; Xuan, T.D.; Trung, N.T.; Trung, K.H.; Gioi, D.H.; Hoang, N.H.; Tran, H.-D.; Trung, D.M.; Thu Huong, B.T.T.","Khanh, Tran Dang (6603569488); Duong, Vu Xuan (57217017275); Nguyen, Phi Cong (57223395939); Xuan, T. D. (7003473828); Trung, N. T. (57217572244); Trung, Khuat Huu (13610888800); Gioi, Donghuy (57209267039); Hoang, Nguyen Huy (57531579400); Tran, Hoang Dung (57202392125); Trung, Do Minh (57193920478); Thu Huong, Bui Thi (57209268692)","6603569488; 57217017275; 57223395939; 7003473828; 57217572244; 13610888800; 57209267039; 57531579400; 57202392125; 57193920478; 57209268692","Rice breeding in Vietnam: Retrospects, challenges and prospects","2021","Agriculture (Switzerland)","11","5","397","","","24","10.3390/agriculture11050397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105777610&doi=10.3390%2Fagriculture11050397&partnerID=40&md5=add35eda6d0aab6e2ec3a6fd027a7ccd","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85105777610"
"Falkendal, T.; Otto, C.; Schewe, J.; Jaegermeyr, J.; Konar, M.; Kummu, M.; Watkins, B.; Puma, M.J.","Falkendal, Theresa (57194546227); Otto, Christian (35100816100); Schewe, Jacob (23487007900); Jaegermeyr, Jonas (35179843900); Konar, Megan (36623797700); Kummu, Matti (14050683600); Watkins, Ben (57223325255); Puma, Michael J. (8414341100)","57194546227; 35100816100; 23487007900; 35179843900; 36623797700; 14050683600; 57223325255; 8414341100","Grain export restrictions during COVID-19 risk food insecurity in many low- and middle-income countries","2021","Nature Food","2","1","","11","14","130","10.1038/s43016-020-00211-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103732259&doi=10.1038%2Fs43016-020-00211-7&partnerID=40&md5=fbfcbcc3a1354c8d7c5db9ce02bba8d5","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85103732259"
"Zhai, R.; Tao, F.; Lall, U.; Elliott, J.","Zhai, Ran (57206366358); Tao, Fulu (55843124400); Lall, Upmanu (7007127326); Elliott, Joshua W. (55422916100)","57206366358; 55843124400; 7007127326; 55422916100","Africa Would Need to Import More Maize in the Future Even Under 1.5°C Warming Scenario","2021","Earth's Future","9","1","e2020EF001574","","","17","10.1029/2020EF001574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099993095&doi=10.1029%2F2020EF001574&partnerID=40&md5=a60ef3af19e1601ad79351963b3d7c51","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85099993095"
"Dalheimer, B.; Herwartz, H.; Lange, A.","Dalheimer, Bernhard (57203241120); Herwartz, Helmut (6603405334); Lange, Alexander (57209713353)","57203241120; 6603405334; 57209713353","The threat of oil market turmoils to food price stability in Sub-Saharan Africa","2021","Energy Economics","93","","105029","","","46","10.1016/j.eneco.2020.105029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097347155&doi=10.1016%2Fj.eneco.2020.105029&partnerID=40&md5=1518e9c0fa0ed3ca8dc448d92cb75d7e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097347155"
"Yu, X.; Luo, H.; Wang, H.; Feil, J.-H.","Yu, Xiaohua (35207571100); Luo, Hengrong (57217229551); Wang, Hanjie (57209338100); Feil, Jan Henning (55821608200)","35207571100; 57217229551; 57209338100; 55821608200","Climate change and agricultural trade in central Asia: evidence from Kazakhstan","2020","Ecosystem Health and Sustainability","6","1","1766380","","","31","10.1080/20964129.2020.1766380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086849179&doi=10.1080%2F20964129.2020.1766380&partnerID=40&md5=2e0cc317ffd23e1b223472622f4d5511","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85086849179"
"Jones, R.A.C.","Jones, Roger A.C. (57203513473)","57203513473","Disease pandemics and major epidemics arising from new encounters between indigenous viruses and introduced crops","2020","Viruses","12","12","1388","","","71","10.3390/v12121388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097514606&doi=10.3390%2Fv12121388&partnerID=40&md5=e65871d8bc1e33e8a5f5165fab6d2a81","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85097514606"
"Tanaka, T.; Guo, J.","Tanaka, Tetsuji (55727256500); Guo, Jin (56182757700)","55727256500; 56182757700","How does the self-sufficiency rate affect international price volatility transmissions in the wheat sector? Evidence from wheat-exporting countries","2020","Humanities and Social Sciences Communications","7","1","26","","","20","10.1057/s41599-020-0510-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089387891&doi=10.1057%2Fs41599-020-0510-8&partnerID=40&md5=33189161bfa73cd48287a180d7b68077","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85089387891"
"Yami, M.; Meyer, F.; Hassan, R.","Yami, Mesay (57193992739); Meyer, Ferdinand H. (36559982000); Hassan, Rashid M. (7102127911)","57193992739; 36559982000; 7102127911","The impact of production shocks on maize markets in Ethiopia: implications for regional trade and food security","2020","Agricultural and Food Economics","8","1","8","","","18","10.1186/s40100-020-0153-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079699560&doi=10.1186%2Fs40100-020-0153-5&partnerID=40&md5=ecdedacc76f3a5cb39dcc26630c2013f","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85079699560"
"Delpasand, M.; Bozorg-Haddad, O.; Loáiciga, H.A.","Delpasand, Mohammad (57216178858); Bozorg-Haddad, Omid (8631076400); Loáiciga, Hugo A. (7005327958)","57216178858; 8631076400; 7005327958","Integrated virtual water trade management considering self-sufficient production of strategic agricultural and industrial products","2020","Science of the Total Environment","743","","140797","","","21","10.1016/j.scitotenv.2020.140797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087807731&doi=10.1016%2Fj.scitotenv.2020.140797&partnerID=40&md5=2b1937be9334a9121ad2feb338b99357","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85087807731"
"Hoang Duong, L.; Thanh Dat, H.; Chung, N.; Vu, V.; Thanh-Hung, N.; Huynh, Q.-T.","Hoang Duong, Le (59159177300); Thanh Dat, Hoang (59455305300); Chung, Nguyen Thanh (25026622400); Vu, Tuyet Trinh (57221604083); Thanh-Hung, Nguyen (15851779500); Huynh, Quyet Thang (36626689700)","59159177300; 59455305300; 25026622400; 57221604083; 15851779500; 36626689700","Monitoring Rice Crop with Dense Segmentation on Satellite Images: A case study in Vietnamese Mekong Delta","2020","Proceedings - 2020 12th International Conference on Knowledge and Systems Engineering, KSE 2020","","","9287368","189","194","1","10.1109/KSE50997.2020.9287368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099554661&doi=10.1109%2FKSE50997.2020.9287368&partnerID=40&md5=bb6b3279fb867b8d77b6d1ec34e93e3a","Conference paper","Final","","Scopus","2-s2.0-85099554661"
"El Baroudy, A.A.; Ali, A.M.; Said Mohamed, E.S.; Moghanm, F.S.; Shokr, M.S.; Savin, I.; Poddubsky, A.; Ding, Z.; Kheir, A.M.S.; Aldosari, A.A.; Elfadaly, A.; Dokukin, P.; Lasaponara, R.","El Baroudy, A. A. (36951445200); Ali, Abdelraouf M. (53663822900); Said Mohamed, Elsayed Said (55418870300); Moghanm, Farahat Saad (53064396200); Shokr, Mohamed S. (57214715771); Savin, Igor Yuryevich (7003650252); Poddubsky, A. Alexandrovich (57195522532); Ding, Zheli (55293059800); Kheir, Ahmed M.S. (57197744662); Aldosari, Ali Abdullah (36551903100); Elfadaly, Abdelaziz (57190283466); Dokukin, Peter A. (56888678000); Lasaponara, Rosa (6603298083)","36951445200; 53663822900; 55418870300; 53064396200; 57214715771; 7003650252; 57195522532; 55293059800; 57197744662; 36551903100; 57190283466; 56888678000; 6603298083","Modeling land suitability for rice crop using remote sensing and soil quality indicators: The case study of the nile delta","2020","Sustainability (Switzerland)","12","22","9653","1","25","62","10.3390/su12229653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096367356&doi=10.3390%2Fsu12229653&partnerID=40&md5=de77a37a58acba03f62a6b57c213a6a7","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85096367356"
"Ahmad, I.; Singh, A.; Fahad, M.; Waqas, M.M.","Ahmad, Ishfaq (57212422463); Singh, Aditya (55487570300); Fahad, Muhammad (59514302900); Waqas, Muhammad Mohsin (57213384396)","57212422463; 55487570300; 59514302900; 57213384396","Remote sensing-based framework to predict and assess the interannual variability of maize yields in Pakistan using Landsat imagery","2020","Computers and Electronics in Agriculture","178","","105732","","","27","10.1016/j.compag.2020.105732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089570717&doi=10.1016%2Fj.compag.2020.105732&partnerID=40&md5=aa8b9fd928f0a5496c9bc0cfd21f2e23","Article","Final","","Scopus","2-s2.0-85089570717"
"Arifah Purnamasari, S.; Masyhuri, n.; Mulyo, J.; Jamhari, J.","Arifah Purnamasari, Siti (57219447463); Masyhuri, n. (57190936582); Mulyo, Jangkung Handoyo (57193761320); Jamhari, Jamhari (57218833614)","57219447463; 57190936582; 57193761320; 57218833614","Indonesian maize imports: A gravity approach","2020","IOP Conference Series: Earth and Environmental Science","518","1","012021","","","0","10.1088/1755-1315/518/1/012021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092784480&doi=10.1088%2F1755-1315%2F518%2F1%2F012021&partnerID=40&md5=a47a5335d7ade79c82e662c0ff2c52e6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85092784480"
"Sadiq, M.S.; Singh, I.P.; Ahmad, M.M.","Sadiq, Mohammed Sanusi (57214152226); Singh, Invinder Paul (57220925882); Ahmad, Muhammad Makarfi (57223342255)","57214152226; 57220925882; 57223342255","The Politics of Rice Production in Nigeria-Can Nigeria Become Net Exporter or Will Remained Net Importer?","2020","Economic Affairs (New Delhi)","65","3","","309","321","0","10.46852/0424-2513.3.2020.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151023003&doi=10.46852%2F0424-2513.3.2020.1&partnerID=40&md5=95a924763ccd5cad1a41a62195c62dbf","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151023003"
"Musch, M.","Musch, Marie (57210274607)","57210274607","The EU’s Position in the Trade-Food Security Nexus: Embedded Neoliberalism Reinforced","2020","European Foreign Affairs Review","25","3","","399","426","0","10.54648/EERR2020030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129896300&doi=10.54648%2FEERR2020030&partnerID=40&md5=598c2498ed1b637bc29c73a1bc32d6e0","Article","Final","","Scopus","2-s2.0-85129896300"
