"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nasir, M.A.; Nugroho, A.D.; Lakner, Z.","Nasir, Muh Amat (57925656200); Nugroho, Agus Dwi (58754315000); Lakner, Zoltán Károly (6506033503)","57925656200; 58754315000; 6506033503","Impact of the Russian–Ukrainian Conflict on Global Food Crops","2022","Foods","11","19","2979","","","76","10.3390/foods11192979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139783050&doi=10.3390%2Ffoods11192979&partnerID=40&md5=2549a1833e8453d3d5f8afb821e2063c","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85139783050"
"Carriquiry, M.; Dumortier, J.; Elobeid, A.","Carriquiry, Miguel A. (57189883107); Dumortier, Jerome (50261472400); Elobeid, Amani E. (16063330200)","57189883107; 50261472400; 16063330200","Trade scenarios compensating for halted wheat and maize exports from Russia and Ukraine increase carbon emissions without easing food insecurity","2022","Nature Food","3","10","","847","850","54","10.1038/s43016-022-00600-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138291300&doi=10.1038%2Fs43016-022-00600-0&partnerID=40&md5=ae818f21e799cdf1f615ffa09d5f2d4f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85138291300"
"Gunawan, S.; Dwitasari, I.; Rahmawati, N.; Darmawan, R.; Wirawasista Aparamarta, H.; Widjaja, T.","Gunawan, Setiyo (57218145308); Dwitasari, Ira (57195905545); Rahmawati, Nurul Aini (57209258643); Darmawan, Raden (55208458800); Wirawasista Aparamarta, Hakun (57836891400); Widjaja, Tri (6506555911)","57218145308; 57195905545; 57209258643; 55208458800; 57836891400; 6506555911","Effect of process production on antinutritional, nutrition, and physicochemical properties of modified sorghum flour","2022","Arabian Journal of Chemistry","15","10","104134","","","12","10.1016/j.arabjc.2022.104134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135718130&doi=10.1016%2Fj.arabjc.2022.104134&partnerID=40&md5=cc0cf48815465b9f0e9e51e572e51556","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85135718130"
"Fleisher, D.H.; Barnaby, J.Y.; Li, S.; Timlin, D.","Fleisher, David H. (7007168260); Barnaby, Jinyoung Yang (38461034900); Li, Sanai (36450750700); Timlin, Dennis J. (7004562048)","7007168260; 38461034900; 36450750700; 7004562048","Response of a U.S. rice hybrid variety to high heat at Two CO2 concentrations during anthesis and grainfill","2022","Agricultural and Forest Meteorology","323","","109058","","","5","10.1016/j.agrformet.2022.109058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132427877&doi=10.1016%2Fj.agrformet.2022.109058&partnerID=40&md5=f0b01ae4dff864503262157d4311c810","Article","Final","","Scopus","2-s2.0-85132427877"
"Rahmati, A.; Valadan Zoej, M.J.V.; Taheri Dehkordi, A.T.","Rahmati, Amir (57730021000); Valadan Zoej, Mohammad Javad (56962765800); Taheri Dehkordi, Alireza (57226597713)","57730021000; 56962765800; 57226597713","Early identification of crop types using Sentinel-2 satellite images and an incremental multi-feature ensemble method (Case study: Shahriar, Iran)","2022","Advances in Space Research","70","4","","907","922","23","10.1016/j.asr.2022.05.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131446319&doi=10.1016%2Fj.asr.2022.05.038&partnerID=40&md5=bd364b3640899854f77f92f216e4442f","Article","Final","","Scopus","2-s2.0-85131446319"
"Rocchi, R.; Rosato, R.; Bellocci, M.; Migliorati, G.; Scarpone, R.","Rocchi, Rachele (57197844339); Rosato, Roberta (56150651100); Bellocci, Mirella (23033079500); Migliorati, Giacomo (7006608829); Scarpone, Rossana (6506107674)","57197844339; 56150651100; 23033079500; 7006608829; 6506107674","Ion Chromatography–High-Resolution Mass Spectrometry Method for the Determination of Bromide Ions in Cereals and Legumes: New Scenario for Global Food Security","2022","Foods","11","16","2385","","","4","10.3390/foods11162385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137345231&doi=10.3390%2Ffoods11162385&partnerID=40&md5=b89233f9a75698f30fe554221e48396a","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85137345231"
"Bradshaw, C.D.; Pope, E.; Kay, G.; Davie, J.C.S.; Cottrell, A.; Bacon, J.; Cosse, A.; Dunstone, N.; Jennings, S.; Challinor, A.; Chapman, S.; Birch, C.; Sallu, S.M.; King, R.; MacDiarmid, J.","Bradshaw, Catherine D. (54683434100); Pope, Edward C.D. (57130318700); Kay, Gillian (36953058900); Davie, Jemma C.S. (56025792100); Cottrell, Andrew (8325043900); Bacon, James (57219763391); Cosse, Adriana (57832358800); Dunstone, Nick J. (12787547600); Jennings, Stewart A. (57221224044); Challinor, A. J. (7003681353); Chapman, Sarah (56228426900); Birch, Cathryn E. (34976155900); Sallu, Susannah Mary (26026483100); King, Richard (57200728595); MacDiarmid, Jennie I. (7003488830)","54683434100; 57130318700; 36953058900; 56025792100; 8325043900; 57219763391; 57832358800; 12787547600; 57221224044; 7003681353; 56228426900; 34976155900; 26026483100; 57200728595; 7003488830","Unprecedented climate extremes in South Africa and implications for maize production","2022","Environmental Research Letters","17","8","084028","","","33","10.1088/1748-9326/ac816d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135443023&doi=10.1088%2F1748-9326%2Fac816d&partnerID=40&md5=f1340716dc4c8346db4b02b97a257442","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85135443023"
"Kumar, I.; Feng, K.; Sun, L.; Bandaru, V.","Kumar, Ipsita (57218645131); Feng, Kuishuang (35169268500); Sun, Laixiang (15821588400); Bandaru, Varaprasad (14051672300)","57218645131; 35169268500; 15821588400; 14051672300","Adoption of biomass for electricity generation in Thailand: Implications for energy security, employment, environment, and land use change","2022","Renewable Energy","195","","","1454","1467","20","10.1016/j.renene.2022.05.162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133922687&doi=10.1016%2Fj.renene.2022.05.162&partnerID=40&md5=b7243c333ca29097da3b04d5874e99d8","Article","Final","","Scopus","2-s2.0-85133922687"
"Khan, H.; Wani, S.H.; Bhardwaj, S.C.; Rani, K.; Bishnoi, S.K.; Singh, G.P.","Khan, Hanif (39161513600); Wani, Shabir H. (26221990800); Bhardwaj, Subhash Chander (7006786449); Rani, Kirti (57226010635); Bishnoi, Santosh Kumar (57216659409); Singh, Gyanendra Pratap (7404167077)","39161513600; 26221990800; 7006786449; 57226010635; 57216659409; 7404167077","Wheat spike blast: genetic interventions for effective management","2022","Molecular Biology Reports","49","6","","5483","5494","2","10.1007/s11033-022-07356-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128806385&doi=10.1007%2Fs11033-022-07356-7&partnerID=40&md5=368fe4bff41af200800ec84496250366","Article","Final","","Scopus","2-s2.0-85128806385"
"Nguyen Chau, T.; Scrimgeour, F.","Nguyen Chau, Trinh (57233594900); Scrimgeour, Frank G. (6603184587)","57233594900; 6603184587","Productivity impacts of hybrid rice seeds in Vietnam","2022","Journal of Agricultural Economics","73","2","","414","429","9","10.1111/1477-9552.12458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115216097&doi=10.1111%2F1477-9552.12458&partnerID=40&md5=176eb6129fb567ca135abc5d19cf0350","Article","Final","","Scopus","2-s2.0-85115216097"
"Nunes, L.M.; Li, G.; Chen, W.-Q.; Meharg, A.A.; O’Connor, P.; Zhu, Y.-G.","Nunes, L. M. (7102529511); Li, Gang (56384560200); Chen, Wei Qiang (55716083800); Meharg, Andrew A. (7006789415); O’Connor, Patrick J. (59418562600); Zhu, Yongguan (7406073704)","7102529511; 56384560200; 55716083800; 7006789415; 59418562600; 7406073704","Embedded Health Risk from Arsenic in Globally Traded Rice","2022","Environmental Science and Technology","56","10","","6415","6425","30","10.1021/acs.est.1c08238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130010383&doi=10.1021%2Facs.est.1c08238&partnerID=40&md5=2da50d051367d8e0ff9f7752fdca47a7","Article","Final","","Scopus","2-s2.0-85130010383"
"Escobar, N.; Bautista, I.; Peña, N.; Fenollosa, M.L.; Osca, J.M.; Sanjuán, N.","Escobar, Neus (56222039700); Bautista, Inmaculada (6506562366); Peña, Nancy (57195457543); Fenollosa, Ma Loreto (48761234300); Osca, José María (55918840500); Sanjuán, Neus (7003683112)","56222039700; 6506562366; 57195457543; 48761234300; 55918840500; 7003683112","Life Cycle Thinking for the environmental and financial assessment of rice management systems in the Senegal River Valley","2022","Journal of Environmental Management","310","","114722","","","26","10.1016/j.jenvman.2022.114722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125496401&doi=10.1016%2Fj.jenvman.2022.114722&partnerID=40&md5=c9b4ac303a0b4a8fd0aaf3e5da8c0922","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85125496401"
"Liu, Y.; Yang, L.; Zhang, J.; Cui, Q.I.; Liu, Y.U.; Nie, F.; Hu, Y.","Liu, Yawen (57203675219); Yang, Lingyu (57202223420); Zhang, Jinzhu (57207782075); Cui, Q. I. (57490261700); Liu, Yu (56383915700); Nie, Fengying (57205022391); Hu, Yumeng (57490142100)","57203675219; 57202223420; 57207782075; 57490261700; 56383915700; 57205022391; 57490142100","Aggravating effects of food export restrictions under climate change on food security: An analysis of rice economy based on alternative indicators","2022","Climate Change Economics","13","2","2240006","","","6","10.1142/S2010007822400061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126441902&doi=10.1142%2FS2010007822400061&partnerID=40&md5=fccf2021c170743c2d729a17f1b7b80b","Article","Final","","Scopus","2-s2.0-85126441902"
